"filename", "language", "Dart", "comment", "blank", "total"
"d:\Programs\status_display\lib\data\hardware_data.dart", "Dart", 305, 0, 0, 305
"d:\Programs\status_display\lib\data\theme_data.dart", "Dart", 1, 0, 0, 1
"d:\Programs\status_display\lib\subsystems_display.dart", "Dart", 1, 0, 0, 1
"d:\Programs\status_display\lib\widgets\inspector_widgets.dart", "Dart", 20, 0, 3, 23
"d:\Programs\status_display\lib\widgets\status_indicator.dart", "Dart", 22, 0, 1, 23
"Total", "-", 349, 0, 4, 353
