"filename", "language", "Dart", "comment", "blank", "total"
"d:\Programs\status_display\lib\data\hardware_data.dart", "Dart", 400, 0, 0, 400
"d:\Programs\status_display\lib\data\robot_data.dart", "Dart", 1, 0, 0, 1
"d:\Programs\status_display\lib\data\subsystem_data.dart", "Dart", -23, 0, -14, -37
"Total", "-", 378, 0, -14, 364
