"filename", "language", "Dart", "comment", "blank", "total"
"d:\Programs\status_display\lib\data\fusion_tof_data.dart", "Dart", 1, 0, 0, 1
"d:\Programs\status_display\lib\data\navx_data.dart", "Dart", 6, 0, 0, 6
"d:\Programs\status_display\lib\data\sparkmax_data.dart", "Dart", -4, 0, 0, -4
"d:\Programs\status_display\lib\data\talonfx_data.dart", "Dart", -4, 0, 0, -4
"d:\Programs\status_display\lib\extra_info.dart", "Dart", 5, 0, 0, 5
"d:\Programs\status_display\lib\utils\formating.dart", "Dart", 33, 0, 11, 44
"Total", "-", 37, 0, 11, 48
